eyelib-test-fixation,2019-10-02T16:39:26
timestamp (ms),epoch (ms),target duration (ms),,,DT points,DT dmax,VT dmax
21278232,1570048766898,750,750,0,4,30,7
eye tracker,,target,,,raw gaze,,smoothed gaze,,fixation detection,,,,,fixation on object (ET)
timestamp (ms),tracking,x,y,active,x,y,x,y,ET,DT,dispersion,VT,displacement,target ID,fixation point error,count of fixations,sum duration (ms),average duration (ms),interval (ms)
238226251,false,0,0,false,0,0,0,0,false,false,404.757,false,321.271,
238226268,false,0,0,false,0,0,0,0,false,false,404.757,false,321.271,
238226285,false,0,0,false,0,0,0,0,false,false,404.757,false,321.271,
238226302,false,0,0,false,0,0,0,0,false,false,404.757,false,321.271,
238226318,false,0,0,false,0,0,0,0,false,false,404.757,false,321.271,
238226335,false,0,0,false,0,0,0,0,false,false,404.757,false,321.271,
238226351,false,0,0,false,0,0,0,0,false,false,404.757,false,321.271,
238226368,false,0,0,false,0,0,0,0,false,false,404.757,false,321.271,
238226384,false,0,0,false,0,0,0,0,false,false,404.757,false,321.271,
238226401,false,0,0,false,0,0,0,0,false,false,404.757,false,321.271,
238226418,false,0,0,false,0,0,0,0,false,false,404.757,false,321.271,
238226435,false,0,0,false,0,0,0,0,false,false,404.757,false,321.271,
